"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 28, 2019",California,Oakland,"9755 Edes Ave",1,3,N/A
"February 22, 2019",Alabama,Birmingham,"1100 block of Carnation Dr",2,2,N/A
"February 21, 2019",Maryland,Baltimore,"500 block of Bloom St",1,4,N/A
"February 21, 2019",Kentucky,Elizabethtown,"600 N Miles St",2,2,N/A
"February 21, 2019",Texas,Houston,"12800 block of Eastbrook Dr",2,2,N/A
"February 20, 2019",Tennessee,Covington,"529 N College St",0,4,N/A
"February 17, 2019",Texas,Henderson,"504 S Van Buren St",2,2,N/A
"February 17, 2019",Indiana,Evansville,"664 E Illinois St",0,5,N/A
"February 17, 2019",Louisiana,"New Orleans","Tulane Ave and Elk Pl",1,5,N/A
"February 16, 2019",Mississippi,Clinton,"1214 Foxhill Dr",5,0,N/A
"February 15, 2019",Illinois,Aurora,"641 Archer Ave",6,6,N/A
"February 14, 2019",Florida,Jacksonville,"5905 Redpoll Ave",2,2,N/A
"February 11, 2019",Texas,Livingston,"3628 FM 3126",5,0,N/A
"February 9, 2019",Virginia,Petersburg,"109 Perry St",0,4,N/A
"February 6, 2019","New York",Brooklyn,"1778 Fulton St",1,3,N/A
"February 5, 2019",Texas,"San Antonio","538 Hot Wells Blvd",2,2,N/A
"February 4, 2019","District of Columbia",Washington,"2341 Pennsylvania Avenue SE",0,4,N/A
"February 4, 2019",Louisiana,"Baton Rouge","4000 block of Topeka St",0,4,N/A
"February 3, 2019",California,"Palm Springs","E Sunny Dunes Rd and El Placer Rd",4,0,N/A
"February 3, 2019",Illinois,Chicago,"938 E 75th St",2,5,N/A
"February 1, 2019",California,"San Diego","6800 block of Springfield St",0,4,N/A
"January 28, 2019",Texas,Houston,"7815 Harding St",2,4,N/A
"January 27, 2019",Alabama,Birmingham,"Avenue O and Warrior Rd",0,5,N/A
"January 26, 2019",Louisiana,Gonzales,"42350 Church Point Rd",5,0,N/A
"January 26, 2019",Indiana,Indianapolis,"2957 N Sherman Dr",0,5,N/A
"January 26, 2019",Georgia,Albany,"300 block of West Roosevelt",0,4,N/A
"January 26, 2019","New Jersey",Newark,"612 Bergen St",1,3,N/A
"January 24, 2019",Georgia,Rockmart,"148 W Church Rd",4,1,N/A
"January 24, 2019",Pennsylvania,"State College","1450 S Atherton St",4,1,N/A
"January 23, 2019",Florida,Sebring,"1901 US 27 S",5,0,N/A
"January 20, 2019",Florida,Miami,"26133 SW 139th Ave",0,4,N/A
"January 19, 2019",Pennsylvania,Lebanon,"1140 Church St",0,4,N/A
"January 19, 2019","South Carolina",Gaffney,"1435 Wilcox Ave",1,4,N/A
"January 19, 2019",Texas,Houston,"7041 Sherman St",3,2,N/A
"January 19, 2019",Illinois,Chicago,"4400 block of W Madison St",0,4,N/A
"January 19, 2019",Florida,Jacksonville,"11445 Brian Lakes Drive",3,2,N/A
"January 17, 2019",Kentucky,Owensboro,"940 Audubon Ave",3,1,N/A
"January 16, 2019",California,Palmdale,"Ranch Center Dr and 40th St W",3,1,N/A
"January 16, 2019",Florida,Jacksonville,"Emerson St and Spring Park Rd",1,5,N/A
"January 15, 2019",Arkansas,"Little Rock","5420 Baseline Rd",1,3,N/A
"January 13, 2019",Arizona,Phoenix,"2445 E Van Buren St",1,5,N/A
"January 6, 2019","New Mexico",Roswell,"1300 block of W College Blvd",0,4,N/A
"January 4, 2019",Virginia,Hurt,"3197 Shula Dr",3,2,N/A
"January 4, 2019",California,Torrance,"22501 Hawthorne Blvd",3,4,N/A
"January 3, 2019",Arizona,Yuma,"3800 block of E. County 18Â½ St",1,3,N/A
"January 2, 2019",Arkansas,Jonesboro,"3516 Galaxy St",1,3,N/A
"January 1, 2019","South Carolina",Columbia,"1709 Decker Blvd",0,5,N/A
"January 1, 2019",Florida,Tallahassee,"2020 W Pensacola St",0,5,N/A