State,County,Hospital
SC,ABBEVILLE,1
LA,ACADIA,6
ID,ADA,11
KY,ADAIR,4
IN,ADAMS,20
VT,ADDISON,1
PR,AGUADILLA,1
PR,AIBONITO,1
SC,AIKEN,1
MN,AITKIN,1
FL,ALACHUA,6
NC,ALAMANCE,1
CA,ALAMEDA,27
CO,ALAMOSA,1
NY,ALBANY,8
VA,ALBEMARLE,4
MS,ALCORN,1
AK,ALEUTIANS WEST,1
NC,ALEXANDER,1
VA,ALEXANDRIA,1
MI,ALGER,1
IA,ALLAMAKEE,1
MI,ALLEGAN,2
NY,ALLEGANY,4
NC,ALLEGHANY,2
PA,ALLEGHENY,32
IN,ALLEN,22
SC,ALLENDALE,1
MI,ALPENA,1
CA,AMADOR,1
AK,ANCHORAGE,9
TN,ANDERSON,8
TX,ANDREWS,1
ME,ANDROSCOGGIN,2
TX,ANGELINA,4
MD,ANNE ARUNDEL,2
MN,ANOKA,2
NC,ANSON,2
NE,ANTELOPE,2
AZ,APACHE,4
IA,APPANOOSE,1
GA,APPLING,1
CO,ARAPAHOE,9
CO,ARCHULETA,1
PR,ARECIBO,2
MI,ARENAC,1
AR,ARKANSAS,2
VA,ARLINGTON,1
PA,ARMSTRONG,1
ME,AROOSTOOK,6
PR,ARROYO,1
LA,ASCENSION,6
NC,ASHE,1
WI,ASHLAND,2
AR,ASHLEY,1
OH,ASHTABULA,5
WA,ASOTIN,1
LA,ASSUMPTION,1
TX,ATASCOSA,1
KS,ATCHISON,2
OH,ATHENS,3
NJ,ATLANTIC,9
OK,ATOKA,1
MS,ATTALA,1
MO,AUDRAIN,1
IA,AUDUBON,1
OH,AUGLAIZE,1
VA,AUGUSTA,1
TX,AUSTIN,1
AL,AUTAUGA,1
NC,AVERY,1
LA,AVOYELLES,3
CO,BACA,1
GA,BACON,1
TX,BAILEY,1
FL,BAKER,3
AL,BALDWIN,6
MD,BALTIMORE,8
MD,BALTIMORE CITY,17
ID,BANNOCK,2
MI,BARAGA,1
KS,BARBER,3
AL,BARBOUR,2
ND,BARNES,1
MA,BARNSTABLE,4
SC,BARNWELL,1
KY,BARREN,1
WI,BARRON,3
GA,BARROW,1
MI,BARRY,3
IN,BARTHOLOMEW,1
KS,BARTON,4
GA,BARTOW,1
TX,BASTROP,1
MO,BATES,1
VA,BATH,1
AR,BAXTER,1
FL,BAY,8
PR,BAYAMON,6
TX,BAYLOR,1
SD,BEADLE,1
ID,BEAR LAKE,1
NC,BEAUFORT,6
LA,BEAUREGARD,2
OK,BEAVER,5
MT,BEAVERHEAD,1
MN,BECKER,1
OK,BECKHAM,2
TN,BEDFORD,3
VA,BEDFORD CITY,1
TX,BEE,1
NH,BELKNAP,1
TX,BELL,12
OH,BELMONT,4
MN,BELTRAMI,2
GA,BEN HILL,1
ID,BENEWAH,1
SD,BENNETT,1
VT,BENNINGTON,1
AR,BENTON,13
MI,BENZIE,1
NJ,BERGEN,10
WV,BERKELEY,2
PA,BERKS,6
MA,BERKSHIRE,4
NM,BERNALILLO,17
MI,BERRIEN,5
NC,BERTIE,1
AK,BETHEL,1
TX,BEXAR,47
AL,BIBB,9
LA,BIENVILLE,1
MT,BIG HORN,4
MN,BIG STONE,2
ID,BINGHAM,3
IA,BLACK HAWK,3
IN,BLACKFORD,1
NC,BLADEN,1
MT,BLAINE,4
PA,BLAIR,5
GA,BLECKLEY,1
TN,BLEDSOE,1
TN,BLOUNT,3
MN,BLUE EARTH,1
MS,BOLIVAR,1
SD,BON HOMME,2
IL,BOND,1
ID,BONNER,1
ID,BONNEVILLE,2
IN,BOONE,14
TX,BOSQUE,1
LA,BOSSIER,5
ND,BOTTINEAU,1
CO,BOULDER,6
ID,BOUNDARY,1
KS,BOURBON,2
TX,BOWIE,6
ND,BOWMAN,1
NE,BOX BUTTE,1
UT,BOX ELDER,2
NE,BOYD,2
KY,BOYLE,1
FL,BRADFORD,5
TN,BRADLEY,3
MI,BRANCH,1
WV,BRAXTON,1
TX,BRAZORIA,5
TX,BRAZOS,6
KY,BREATHITT,1
KY,BRECKINRIDGE,1
IA,BREMER,2
FL,BREVARD,11
TX,BREWSTER,1
MA,BRISTOL,12
MT,BROADWATER,1
NY,BRONX,15
WV,BROOKE,2
SD,BROOKINGS,1
GA,BROOKS,1
NY,BROOME,4
CO,BROOMFIELD,1
FL,BROWARD,28
KS,BROWN,19
SD,BRULE,1
NC,BRUNSWICK,3
OK,BRYAN,1
IA,BUCHANAN,6
PA,BUCKS,10
IA,BUENA VISTA,1
NE,BUFFALO,3
GA,BULLOCH,2
AL,BULLOCK,1
NC,BUNCOMBE,4
IL,BUREAU,2
NC,BURKE,3
ND,BURLEIGH,2
TX,BURLESON,1
NJ,BURLINGTON,9
TX,BURNET,2
WI,BURNETT,1
NE,BURT,1
AL,BUTLER,21
ID,BUTTE,8
GA,BUTTS,1
NC,CABARRUS,2
WV,CABELL,6
PR,CABO ROJO,1
UT,CACHE,2
LA,CADDO,16
PR,CAGUAS,2
CA,CALAVERAS,1
LA,CALCASIEU,11
NC,CALDWELL,6
VT,CALEDONIA,1
AL,CALHOUN,15
MO,CALLAWAY,2
KY,CALLOWAY,1
WI,CALUMET,1
MD,CALVERT,1
PA,CAMBRIA,4
GA,CAMDEN,14
TX,CAMERON,12
TX,CAMP,1
WY,CAMPBELL,5
OK,CANADIAN,2
GA,CANDLER,1
TN,CANNON,1
ID,CANYON,2
MO,CAPE GIRARDEAU,3
NJ,CAPE MAY,1
WY,CARBON,5
ID,CARIBOU,1
MN,CARLTON,2
PR,CAROLINA,1
GA,CARROLL,16
NV,CARSON CITY,3
MT,CARTER,4
NC,CARTERET,1
MN,CARVER,1
MT,CASCADE,3
KY,CASEY,1
IN,CASS,18
ID,CASSIA,1
TX,CASTRO,1
NC,CATAWBA,2
GA,CATOOSA,1
NY,CATTARAUGUS,2
ND,CAVALIER,1
PR,CAYEY,1
NY,CAYUGA,1
MD,CECIL,2
MO,CEDAR,2
PA,CENTRE,3
IA,CERRO GORDO,2
CO,CHAFFEE,1
TX,CHAMBERS,3
OH,CHAMPAIGN,4
MD,CHARLES,1
SD,CHARLES MIX,2
SC,CHARLESTON,11
MI,CHARLEVOIX,1
FL,CHARLOTTE,4
VA,CHARLOTTESVILLE,1
GA,CHARLTON,1
NE,CHASE,1
NC,CHATHAM,10
GA,CHATTAHOOCHEE,1
GA,CHATTOOGA,1
KS,CHAUTAUQUA,6
NM,CHAVES,3
TN,CHEATHAM,1
WA,CHELAN,4
NY,CHEMUNG,3
NY,CHENANGO,1
AL,CHEROKEE,13
NE,CHERRY,1
VA,CHESAPEAKE,1
NH,CHESHIRE,1
SC,CHESTER,11
VA,CHESTERFIELD,5
NE,CHEYENNE,4
MS,CHICKASAW,2
AR,CHICOT,2
TX,CHILDRESS,1
AL,CHILTON,1
MI,CHIPPEWA,4
MN,CHISAGO,1
VT,CHITTENDEN,1
MS,CHOCTAW,5
MT,CHOUTEAU,2
NC,CHOWAN,1
KY,CHRISTIAN,5
NV,CHURCHILL,1
NM,CIBOLA,2
PR,CIDRA,1
OK,CIMARRON,1
FL,CITRUS,2
OR,CLACKAMAS,4
MS,CLAIBORNE,3
WA,CLALLAM,2
MI,CLARE,1
SC,CLARENDON,2
PA,CLARION,2
IN,CLARK,62
AL,CLARKE,7
OR,CLATSOP,2
IN,CLAY,20
IA,CLAYTON,6
PA,CLEARFIELD,2
MN,CLEARWATER,3
AR,CLEBURNE,1
OH,CLERMONT,1
OK,CLEVELAND,10
GA,CLINCH,1
IN,CLINTON,12
KS,CLOUD,1
MS,COAHOMA,1
OK,COAL,1
GA,COBB,6
AZ,COCHISE,8
TX,COCHRAN,1
TN,COCKE,1
AZ,COCONINO,4
SD,CODINGTON,1
AL,COFFEE,5
KS,COFFEY,2
AL,COLBERT,2
MO,COLE,3
TX,COLEMAN,1
IL,COLES,1
NE,COLFAX,2
SC,COLLETON,1
FL,COLLIER,6
TX,COLLIN,28
TX,COLLINGSWORTH,1
TX,COLORADO,3
GA,COLQUITT,2
FL,COLUMBIA,10
OH,COLUMBIANA,2
NC,COLUMBUS,1
CA,COLUSA,1
TX,COMAL,5
OK,COMANCHE,7
TX,CONCHO,1
LA,CONCORDIA,2
AL,CONECUH,1
CO,CONEJOS,1
CA,CONTRA COSTA,12
WY,CONVERSE,1
AR,CONWAY,1
MN,COOK,75
TX,COOKE,2
MO,COOPER,1
NH,COOS,6
MS,COPIAH,2
SD,CORSON,1
NY,CORTLAND,1
TX,CORYELL,1
OH,COSHOCTON,1
MN,COTTONWOOD,2
AL,COVINGTON,4
GA,COWETA,3
KS,COWLEY,2
WA,COWLITZ,2
OK,CRAIG,1
AR,CRAIGHEAD,6
TX,CRANE,1
NC,CRAVEN,2
MI,CRAWFORD,14
OK,CREEK,3
AL,CRENSHAW,2
GA,CRISP,1
AR,CRITTENDEN,3
WY,CROOK,3
TX,CROSBY,1
AR,CROSS,1
MN,CROW WING,2
TX,CULBERSON,1
PR,CULEBRA,1
AL,CULLMAN,2
VA,CULPEPER,1
KY,CUMBERLAND,23
NE,CUMING,1
NM,CURRY,3
SD,CUSTER,6
OH,CUYAHOGA,29
GA,DADE,1
MN,DAKOTA,3
AL,DALE,1
AL,DALLAS,63
WI,DANE,9
MT,DANIELS,1
VA,DANVILLE,2
NC,DARE,1
OH,DARKE,1
SC,DARLINGTON,2
PA,DAUPHIN,8
NC,DAVIDSON,17
NC,DAVIE,2
IN,DAVIESS,3
IA,DAVIS,6
SD,DAVISON,1
NE,DAWES,1
MT,DAWSON,5
SD,DAY,1
LA,DE SOTO,1
IL,DE WITT,1
TX,DEAF SMITH,2
IN,DEARBORN,2
IN,DECATUR,5
MT,DEER LODGE,2
OH,DEFIANCE,3
IN,DEKALB,22
CA,DEL NORTE,1
IN,DELAWARE,20
MI,DELTA,2
MO,DENT,1
TX,DENTON,18
CO,DENVER,16
IA,DES MOINES,1
OR,DESCHUTES,2
AR,DESHA,2
FL,DESOTO,4
SD,DEUEL,1
OK,DEWEY,2
TX,DEWITT,1
VA,DICKENSON,1
ND,DICKEY,1
MI,DICKINSON,5
TN,DICKSON,1
AK,DILLINGHAM,1
SC,DILLON,1
TX,DIMMIT,1
VA,DINWIDDIE,1
DC,DISTRICT OF COLUMBIA,15
ND,DIVIDE,1
WI,DODGE,5
NM,DONA ANA,6
GA,DOOLY,1
WI,DOOR,1
MD,DORCHESTER,5
GA,DOUGHERTY,2
KS,DOUGLAS,35
AR,DREW,1
IN,DUBOIS,1
IA,DUBUQUE,3
UT,DUCHESNE,2
MA,DUKES,1
NE,DUNDY,1
MO,DUNKLIN,1
WI,DUNN,1
IL,DUPAGE,8
NC,DUPLIN,1
NC,DURHAM,6
NY,DUTCHESS,4
FL,DUVAL,15
TN,DYER,1
CO,EAGLE,1
GA,EARLY,1
LA,EAST BATON ROUGE,23
LA,EAST CARROLL,1
LA,EAST FELICIANA,4
TX,EASTLAND,1
MI,EATON,2
WI,EAU CLAIRE,3
TX,ECTOR,4
NM,EDDY,2
IL,EDGAR,1
NC,EDGECOMBE,1
SC,EDGEFIELD,1
SD,EDMUNDS,1
KS,EDWARDS,1
GA,EFFINGHAM,3
CA,EL DORADO,3
CO,EL PASO,30
GA,ELBERT,1
PA,ELK,1
IN,ELKHART,3
NV,ELKO,2
OK,ELLIS,5
KS,ELLSWORTH,1
AL,ELMORE,3
GA,EMANUEL,1
MI,EMMET,2
ND,EMMONS,1
VA,EMPORIA,1
TX,ERATH,1
PA,ERIE,27
AL,ESCAMBIA,11
MA,ESSEX,34
KY,ESTILL,1
AL,ETOWAH,4
LA,EVANGELINE,2
GA,EVANS,1
AK,FAIRBANKS NORTH STAR,3
VA,FAIRFAX,8
CT,FAIRFIELD,10
PR,FAJARDO,2
SD,FALL RIVER,3
MT,FALLON,1
TX,FALLS,1
GA,FANNIN,3
MN,FARIBAULT,1
SD,FAULK,1
AR,FAULKNER,3
VA,FAUQUIER,1
AL,FAYETTE,24
TN,FENTRESS,1
MT,FERGUS,1
WA,FERRY,1
NE,FILLMORE,1
KS,FINNEY,1
TX,FISHER,1
FL,FLAGLER,1
MT,FLATHEAD,3
KY,FLEMING,1
SC,FLORENCE,7
IN,FLOYD,13
WI,FOND DU LAC,4
KS,FORD,2
MS,FORREST,2
NC,FORSYTH,7
TX,FORT BEND,12
ND,FOSTER,1
MA,FRANKLIN,54
VA,FRANKLIN CITY,1
MD,FREDERICK,1
VA,FREDERICKSBURG,2
MN,FREEBORN,1
TX,FREESTONE,1
CO,FREMONT,4
CA,FRESNO,15
TX,FRIO,2
IN,FULTON,26
NE,FURNAS,1
FL,GADSDEN,2
NE,GAGE,2
TX,GAINES,1
VA,GALAX,1
MT,GALLATIN,2
OH,GALLIA,1
TX,GALVESTON,4
NE,GARDEN,1
MT,GARFIELD,8
AR,GARLAND,6
KY,GARRARD,1
MD,GARRETT,1
OK,GARVIN,2
MO,GASCONADE,1
NC,GASTON,2
KS,GEARY,2
OH,GEAUGA,2
ID,GEM,1
MI,GENESEE,7
AL,GENEVA,1
MO,GENTRY,1
MS,GEORGE,1
SC,GEORGETOWN,2
IN,GIBSON,4
AZ,GILA,4
TN,GILES,3
TX,GILLESPIE,1
GA,GILMER,1
MT,GLACIER,2
MI,GLADWIN,1
CA,GLENN,1
VA,GLOUCESTER,4
GA,GLYNN,2
MI,GOGEBIC,1
TX,GONZALES,1
MN,GOODHUE,4
ID,GOODING,1
GA,GORDON,1
WY,GOSHEN,2
KS,GOVE,1
GA,GRADY,2
NH,GRAFTON,5
KS,GRAHAM,2
CO,GRAND,3
ND,GRAND FORKS,5
MI,GRAND TRAVERSE,1
MT,GRANITE,1
IN,GRANT,20
NC,GRANVILLE,1
MI,GRATIOT,1
KY,GRAVES,1
TX,GRAY,1
WA,GRAYS HARBOR,4
TX,GRAYSON,9
KS,GREELEY,1
KY,GREEN,2
WI,GREEN LAKE,1
WV,GREENBRIER,1
IN,GREENE,23
KY,GREENUP,1
SC,GREENVILLE,12
KS,GREENWOOD,3
OK,GREER,1
TX,GREGG,6
SD,GREGORY,2
MS,GRENADA,1
ND,GRIGGS,1
TX,GRIMES,1
IA,GRUNDY,3
TX,GUADALUPE,2
PR,GUAYAMA,2
OH,GUERNSEY,2
NC,GUILFORD,7
FL,GULF,1
CO,GUNNISON,1
IA,GUTHRIE,1
GA,GWINNETT,6
SD,HAAKON,1
GA,HABERSHAM,1
AL,HALE,3
NC,HALIFAX,3
NE,HALL,4
TN,HAMBLEN,2
IN,HAMILTON,49
MA,HAMPDEN,10
MA,HAMPSHIRE,5
SC,HAMPTON,4
IN,HANCOCK,10
SD,HAND,1
VA,HANOVER,2
TX,HANSFORD,1
GA,HARALSON,1
FL,HARDEE,1
TX,HARDEMAN,3
KY,HARDIN,9
MD,HARFORD,2
KY,HARLAN,2
OK,HARMON,1
NC,HARNETT,2
OR,HARNEY,1
KS,HARPER,3
TX,HARRIS,108
IN,HARRISON,15
VA,HARRISONBURG,1
KY,HART,2
CT,HARTFORD,12
TX,HARTLEY,1
KS,HARVEY,2
OK,HASKELL,3
HI,HAWAII,6
TN,HAWKINS,1
TX,HAYS,4
NC,HAYWOOD,2
TX,HEMPHILL,1
AR,HEMPSTEAD,1
NC,HENDERSON,5
IN,HENDRICKS,2
FL,HENDRY,1
MN,HENNEPIN,12
VA,HENRICO,5
IN,HENRY,11
NY,HERKIMER,1
FL,HERNANDO,5
NC,HERTFORD,1
TN,HICKMAN,1
TX,HIDALGO,17
OH,HIGHLAND,2
FL,HIGHLANDS,3
TX,HILL,3
FL,HILLSBOROUGH,32
MI,HILLSDALE,1
MS,HINDS,9
OH,HOCKING,1
TX,HOCKLEY,1
KS,HODGEMAN,1
NC,HOKE,2
MS,HOLMES,3
NE,HOLT,2
HI,HONOLULU,17
TX,HOOD,1
OR,HOOD RIVER,1
VA,HOPEWELL,1
TX,HOPKINS,2
SC,HORRY,5
AR,HOT SPRING,2
WY,HOT SPRINGS,2
MI,HOUGHTON,2
AL,HOUSTON,9
IN,HOWARD,13
MO,HOWELL,2
MN,HUBBARD,1
NJ,HUDSON,8
CO,HUERFANO,1
OK,HUGHES,2
PR,HUMACAO,3
CA,HUMBOLDT,8
MS,HUMPHREYS,2
TX,HUNT,3
NJ,HUNTERDON,1
PA,HUNTINGDON,1
IN,HUNTINGTON,1
MI,HURON,5
SD,HUTCHINSON,4
LA,IBERIA,3
LA,IBERVILLE,1
IA,IDA,1
ID,IDAHO,2
CA,IMPERIAL,2
AR,INDEPENDENCE,1
FL,INDIAN RIVER,4
PA,INDIANA,1
MI,INGHAM,6
CA,INYO,2
MI,IONIA,2
MI,IOSCO,1
IA,IOWA,2
NC,IREDELL,3
MI,IRON,3
IL,IROQUOIS,1
GA,IRWIN,1
MI,ISABELLA,1
MN,ISANTI,1
WA,ISLAND,2
MN,ITASCA,3
AR,IZARD,1
TX,JACK,2
AL,JACKSON,45
VA,JAMES CITY,3
IN,JASPER,8
IN,JAY,1
GA,JEFF DAVIS,1
AL,JEFFERSON,94
MS,JEFFERSON DAVIS,5
GA,JENKINS,1
IN,JENNINGS,1
SD,JERAULD,1
ID,JEROME,1
IL,JERSEY,1
KS,JEWELL,1
TX,JIM WELLS,1
IL,JO DAVIESS,1
IN,JOHNSON,31
NC,JOHNSTON,2
MS,JONES,6
OR,JOSEPHINE,1
UT,JUAB,1
AK,JUNEAU,2
MI,KALAMAZOO,2
MI,KALKASKA,1
MN,KANABEC,1
WV,KANAWHA,8
MN,KANDIYOHI,1
IL,KANE,6
IL,KANKAKEE,2
TX,KARNES,1
HI,KAUAI,2
TX,KAUFMAN,3
OK,KAY,2
NE,KEARNEY,1
KS,KEARNY,1
NE,KEITH,1
MS,KEMPER,1
AK,KENAI PENINSULA,3
ME,KENNEBEC,8
WI,KENOSHA,3
MI,KENT,12
KY,KENTON,4
IA,KEOKUK,1
CA,KERN,15
TX,KERR,3
SC,KERSHAW,1
AK,KETCHIKAN GATEWAY,1
NE,KIMBALL,1
TX,KIMBLE,1
WA,KING,32
OK,KINGFISHER,1
KS,KINGMAN,1
NY,KINGS,22
SD,KINGSBURY,1
CO,KIOWA,3
CO,KIT CARSON,1
WA,KITSAP,4
WA,KITTITAS,1
MN,KITTSON,1
OR,KLAMATH,1
TX,KLEBERG,1
WA,KLICKITAT,2
IN,KNOX,21
AK,KODIAK ISLAND,1
MN,KOOCHICHING,1
ID,KOOTENAI,4
IN,KOSCIUSKO,2
IA,KOSSUTH,1
WI,LA CROSSE,2
AZ,LA PAZ,2
CO,LA PLATA,2
IL,LA SALLE,7
KS,LABETTE,3
MN,LAC QUI PARLE,2
PA,LACKAWANNA,6
MO,LACLEDE,1
MS,LAFAYETTE,20
LA,LAFOURCHE,3
IN,LAGRANGE,1
IN,LAKE,41
MN,LAKE OF THE WOODS,1
MS,LAMAR,5
TX,LAMB,1
VT,LAMOILLE,1
TX,LAMPASAS,1
PA,LANCASTER,16
NV,LANDER,1
KS,LANE,7
WI,LANGLADE,1
